word,def,V,A
짜릿하다†,(사람이나 그 마음이) 심리적으로 자극을 받아 몹시 흥분되고 떨리는 듯하다.,2,1.6875
침울하다*,걱정이나 근심에 잠겨서 마음이 우울하다.,-2.0625,-0.8125
만년필*,글씨를 쓰는 펜의 하나. 펜대 속에 넣은 잉크가 펜촉으로 흘러나와 오래 쓸 수 있다.,0.6875,-0.375
생기*,싱싱하고 힘찬 기운.,2.4375,1.75
격파†,단단한 물체를 손이나 발 따위로 쳐서 깨뜨림.,0.8125,1.6875
석박사,‘석사’와 ‘박사’를 아울러 이르는 말.,0.875,0.0625
바퀴벌레,"작고 둥글납작하며 누런 갈색을 띠고, 음식물과 옷가지에 해를 끼치는 곤충.",-2.6875,1.375
식물성,식물에서만 볼 수 있는 고유한 성질. 또는 그런 성질을 지닌 것.,1.0625,-0.6875
고화질,미세한 것도 잘 보일 정도로 텔레비전이나 카메라 등의 화면이 매우 선명한 것.,1.875,0.6875
빈자리,사람이 앉지 아니하여 비어 있는 자리.,0.25,-0.4375
희박하다,기체나 액체 따위의 밀도나 농도가 짙지 못하고 낮거나 엷다.,-0.875,0.25
운동화,운동할 때 신는 신. 또는 평상시에 활동하기 편하게 신는 신.,1.375,-0.0625
은메달리스트,주로 운동 경기나 그 밖의 각종 대회에서 입상하여 은메달을 수상한 사람.,1.25,0.875
훌륭하다,썩 좋아서 나무랄 곳이 없다.,2.375,0.8125
깔끔하다,생김새 따위가 매끈하고 깨끗하다.,2.0625,-1.0625
서러움,서럽게 느껴지는 마음.,-1.9375,-0.1875
패러글라이딩,패러글라이더를 메고 높은 산의 절벽 등에서 뛰어내려 활공하는 신종 스포츠.,1.1875,2.25
차단기,전류나 전자가 흐르지 못하도록 전선을 끊거나 막는 기구.,0,-0.4375
종이접기,"종이를 접어서 학, 배, 비행기 따위의 모양을 만드는 일.",0.625,-1.1875
내외빈,내빈과 외빈을 아울러 이르는 말.,0.125,-0.8125
체납액,기한까지 내지 못하고 밀린 금액.,-2.4375,1.375
아이디어,새롭고 기발한 생각.,2,1.6875
지우개,글씨나 그림 따위를 지우는 물건.,0.125,-0.5
피범벅,사방 여러 군데에 피가 묻어 뒤범벅이 됨.,-2.625,1.6875
쓰나미,지진 때문에 해저(海底)에 지각 변동이 생겨서 일어나는 해일. 해안 근처의 얕은 곳에서 파고(波高)가 급격히 높아지고 특히 좁은 만(灣)의 깊숙한 곳에 큰 피해를 준다.,-2.0625,1.25
저조도,조도가 낮음. 또는 낮은 조도.,-0.3125,-1.125
최루탄,눈물샘을 자극하여 눈물을 흘리게 하는 약이나 물질을 넣은 탄환.,-2.4375,1.125
면역력,외부에서 들어온 병원균에 저항하는 힘.,1.1875,0.0625
텔레마케팅,컴퓨터 따위의 통신 장치를 이용하여 상품이나 서비스의 주문을 받아 소비자에게 효율적으로 제공하기 위한 활동.,-0.875,0.125
다리미,"옷이나 천 따위의 주름이나 구김을 펴고 줄을 세우는 데 쓰는 도구. 쇠붙이로 만들며 바닥이 판판하고 매끄럽게 되어 있는데, 숯불이나 전기 따위로 바닥을 뜨겁게 달구어 쓴다.",1,-0.375
무설탕,설탕을 첨가하지 않음. 또는 그런 것.,0.125,-0.75
담벼락,담이나 벽 따위를 통틀어 이르는 말.,0.125,-0.5625
스폰서십,"행사, 자선 사업 따위에 기부금을 내어 돕는 사람으로서의 정신.",1.375,0.5625
미개발,아직 개발되지 못하거나 개발하지 아니함.,-0.875,0
공포감,두렵고 무서운 느낌이나 기분.,-2.5625,1.75
무심히,아무런 생각이나 감정 따위가 없이.,-0.25,-1.8125
평가전,실력의 정도를 알아보기 위하여 하는 운동 경기.,0.5,1
신속히,매우 날쌔고 빠르게.,1.25,1.8125
디스카운트,물건값의 얼마 또는 몇 퍼센트를 낮추는 일.,0.8125,1
대형견,"몸집의 크기가 큰 개. 진돗개, 레트리버 따위가 있다.",1.875,-0.125
잔여물,완전히 제거되고 소비되지 않고 남아 있는 물질이나 물건 따위.,-1.9375,0.25
대히트,세상에 내놓거나 발표한 것이 매우 큰 인기를 얻음.,1.75,1.8125
엇박자,음이 제 박자에 오지 아니하고 어긋나게 오는 박자. 당김음을 만들거나 합주할 때 특수한 효과를 나타낸다.,0.0625,1
상용화,일상적으로 쓰이게 됨. 또는 그렇게 만듦.,0.5625,-0.875
미실시,아직 실제로 시행하지 아니함.,-1.3125,-0.75
부교수,"대학교수 직위의 하나. 정교수의 아래, 조교수의 위이다.",-0.25,0.0625
스타킹,목이 긴 여성용 양말. 나일론 따위로 만들어 얇고 신축성이 강하다.,0.5,0.3125
도제식,도제 관계와 같이 제자가 스승에게 절대적으로 복종하던 방법.,-1.125,0.5625
개방감,공간이 개방된 느낌.,2.125,-0.75
떨어지다,위에서 아래로 내려지다.,-1.375,0.75
불량품,품질이나 상태가 나쁜 물건.,-1.875,0.25
프린터,"인쇄하는 데 쓰는 기계. 판(版)의 방식에 따라 볼록판ㆍ평판ㆍ오목판이 있고, 압력을 주는 방식에 따라 평압식 인쇄기ㆍ원압 인쇄기ㆍ윤전기 따위가 있다.",0.125,-0.625
연하장,새해를 축하하기 위하여 간단한 글이나 그림을 담아 보내는 서장(書狀).,1.875,-0.3125
가을바람,가을에 부는 선선하고 서늘한 바람.,1.9375,-1.3125
창의력,새로운 것을 생각해 내는 능력.,1.875,1.5
고독감,혼자 남겨져 외롭고 쓸쓸한 느낌.,-0.9375,-0.5
바이아웃,기업의 지분 상당 부분을 인수하거나 기업 자체를 인수한 후 대상 기업의 정상화나 경쟁력 강화를 통해 기업 가치를 높이는 일.,0.875,0.75
무효화,무효가 됨. 또는 무효로 만듦.,-0.75,-0.0625
꿈꾸다,꿈을 꾸는 상태에 있다.,1.1875,-0.3125
방관자,어떤 일에 직접 나서서 관여하지 않고 곁에서 보기만 하는 사람.,-1.5625,-1.0625
유행병,어떤 지역에 널리 퍼져 여러 사람이 잇따라 돌아가며 옮아 앓는 병. 또는 같은 원인으로 보통 병보다 많이 발생하는 병.,-2.1875,1.1875
물리학,"물질의 물리적 성질과 그것이 나타내는 모든 현상, 그리고 그들 사이의 관계나 법칙을 연구하는 학문. 자연 과학의 한 분야이다.",0.1875,-0.25
저주파,"주파수가 낮은 파동이나 전자기파. 음성 진동수, 즉 가청(可聽) 진동수를 가리키며 무선 주파를 검사하여 알아낸 신호 진동수의 파동을 가리키기도 한다.",-0.125,0.125
변사체,뜻밖의 사고로 죽은 사람의 시체.,-2.125,1.4375
대중문화,"대중이 형성하는 문화. 생활 수준의 향상, 교육의 보급, 매스컴의 발달 따위를 기반으로 이루어지며, 대량 생산과 대량 소비를 전제로 하기 때문에 문화의 상품화ㆍ획일화ㆍ저속화 경향이 생기는 경우가 많다.",1.125,0.875
대역전승,크게 지고 있는 팀이 형세를 뒤집어서 이김. 또는 그런 승리.,1.875,2
승리자,싸움이나 경기 따위에서 이긴 사람. 또는 그런 단체.,1.875,1.5
폭로전,상대방에 대한 알려지지 않은 나쁜 일이나 음모 따위를 사람들에게 공공연히 알리면서 벌이는 경쟁. 또는 그런 일을 경쟁적으로 공공연히 알리는 일.,-2.3125,1.25
싸구려,값이 싸거나 질이 낮은 물건.,-1.6875,-0.25
거짓말쟁이,거짓말을 잘하는 사람.,-2.5,1.1875
턱걸이,철봉을 손으로 잡고 몸을 올려 턱이 철봉 위까지 올라가게 하는 운동.,0.5625,1.5625
일광욕,치료나 건강을 위하여 온몸을 드러내고 햇빛을 쬠. 또는 그런 일.,1.3125,-1.125
강대국,병력이 강하고 영토가 넓어 힘이 센 나라.,1.25,0.4375
교육권,교육을 받을 권리. 능력에 따라 균등한 교육을 받을 권리를 이른다.,1.75,-0.625
보디빌더,보디빌딩을 전문적으로 하는 사람.,1.375,1.625
저조하다,활동이나 감정이 왕성하지 못하고 침체해 있다.,-1.8125,-0.875
도박판,사람들이 모여서 돈이나 재물을 걸고 하는 내기가 벌어지는 자리.,-1.6875,1.1875
온실가스,"지구 대기를 오염시켜 온실 효과를 일으키는 가스를 통틀어 이르는 말. 이산화 탄소, 메탄 따위의 가스를 말한다.",-1.5625,0.5
위법하다,법률이나 명령 따위를 어기다.,-1.6875,0.5
지느러미,"물고기 또는 물에 사는 포유류가 몸의 균형을 유지하거나 헤엄치는 데 쓰는 기관. 등, 배, 가슴, 꼬리 따위에 붙어 있다.",0.25,0.375
달팽이관,"포유류의 속귀에 있는 달팽이 모양의 관(管). 세 개의 방으로 나누어져 있으며, 각각이 림프로 가득 차 있어 가운데귀를 거쳐 온 소리의 진동을 청신경(聽神經)에 전달하여 준다.",-0.125,-0.625
인종주의,"인종 사이에 유전적 우열이 있다고 하여 인종적 멸시, 박해, 차별 따위를 정당화하는 주의. 순혈주의와 인종 차별을 낳으며, 나치스의 반유대주의, 백인의 흑인 차별 따위가 전형적인 예이다.",-2.4375,1.125
논쟁거리,논쟁이 될 만한 일이나 대상.,-1,1.375
크리스마스이브,크리스마스의 전날 저녁. 12월 24일 저녁을 이른다.,2.25,0.625
제초제,농작물을 해치지 아니하고 잡초만을 없애는 약.,-0.125,-0.25
외양간,마소를 가두어 기르는 곳.,-0.1875,-0.625
크래커,"밀가루를 이스트로 발효하여 딱딱하게 구운, 단맛이 없는 비스킷.",0.625,-0.8125
항우울제,"정신과 질환의 여러 가지 우울증 치료에 쓰는 약제. 중추 신경 흥분 작용, 항히스타민 작용이 있다.",-1,-0.5
노폐물,낡아서 소용없는 물건.,-1.75,-0.625
은둔형,사람을 만나거나 외출하는 일이 거의 없이 일정한 공간에 머무르려고 하는 성격 유형.,-1.0625,-1.9375
카니발,사순절에 앞서서 3일 또는 한 주일 동안 즐기는 명절.,1.375,1.25
플래카드,긴 천에 표어 따위를 적어 양쪽을 장대에 매어 높이 들거나 길 위에 달아 놓은 표지물.,1.1875,0.375
신앙심,신이나 초자연적 절대자를 믿고 따르는 마음.,0.125,-1.3125
짝사랑,한쪽만 상대편을 사랑하는 일.,-0.125,1.25
순발력,"근육이 순간적으로 빨리 수축하면서 나는 힘. 멀리뛰기, 높이뛰기 따위로 측정한다.",1.4375,1.8125
미봉책,눈가림만 하는 일시적인 꾀나 방법.,-0.6875,0.5625
리코더,"세로로 부는, 플루트의 한 종류인 목관 악기. 부드럽고 밝은 음색을 지닌다.",1.0625,-0.4375
방독면,"독가스, 세균, 방사성 물질 따위가 시각ㆍ청각ㆍ호흡 기관에 피해를 주지 못하도록 얼굴을 보호하는 기구. 유독 물질을 걸러 내고 숨을 쉴 수 있도록 되어 있다.",-0.6875,0.1875
핵폐기물,원자력을 생성하고 난 후에 버리는 찌꺼기 물질. 방사능이 남아 있어서 특별한 관리가 필요하다.,-2.5,0.875
첨단화,유행이나 시대 사조 따위의 맨 앞장이 됨. 또는 그렇게 만듦.,0.875,0.8125
최고점,가장 높은 점이나 점수.,1.625,1.5625
빠르다,어떤 동작을 하는 데 걸리는 시간이 짧다.,1,1
공백기,특정한 활동이나 업적 따위가 없이 그냥 지내는 기간.,-0.25,-0.8125
독창성,독창적인 성향이나 성질.,1.125,1.125
수호신,"국가, 민족, 개인 등을 지키고 보호하여 주는 신.",1.875,-0.1875
카지노,"춤, 음악 따위의 오락 시설을 갖춘 공인 도박장. 룰렛이나 카드놀이 따위를 한다.",-0.1875,1.4375
트랜스젠더,남성에서 여성으로 또는 여성에서 남성으로 성전환을 한 사람.,-1.125,-0.25
맞상대,마주 상대함. 또는 그런 상대.,0.5625,0.5625
민주주의,"국민이 권력을 가지고 그 권력을 스스로 행사하는 제도. 또는 그런 정치를 지향하는 사상. 기본적 인권, 자유권, 평등권, 다수결의 원리, 법치주의 따위를 그 기본 원리로 한다.",0.625,-0.375
건축과,"건축에 관한 이론과 기술 체계, 또는 예술로서의 건축을 과학적으로 연구하는 학과.",1,0.0625
대피소,비상시에 대피할 수 있도록 만들어 놓은 곳.,0.5625,-0.875
시작하다,어떤 일이나 행동의 처음 단계를 이루거나 그렇게 하게 하다.,1.0625,0.9375
페미니스트,페미니즘을 따르거나 주장하는 사람.,-1.4375,0.5625
오피스텔,"침실, 부엌, 화장실 등과 같은 간단한 주거 시설을 갖춘 사무실.",0.5625,-1.125
세심히,작은 일에도 꼼꼼하게 주의를 기울여 빈틈이 없이.,1.25,0.4375
뛰어나다,남보다 월등히 훌륭하거나 앞서 있다.,2.0625,1.4375
보행권,쾌적하고 안전하게 걸을 수 있는 권리.,1.4375,-1
호르몬,"동물의 내분비샘에서 분비되는 체액과 함께 체내를 순환하여, 다른 기관이나 조직의 작용을 촉진, 억제하는 물질을 통틀어 이르는 말.",0.375,0.25
가을날,가을철의 날. 또는 그날의 날씨.,2.0625,-0.375
미충족,일정한 분량을 채우지 아니하여 모자람.,-1.1875,-0.0625
체지방량,분해되지 않고 몸속에 쌓여 있는 지방의 양.,-0.875,0.0625
토네이도,미국 중남부 지역에서 일어나는 강렬한 회오리바람. 특히 봄에서 여름에 걸쳐 많이 발생하며 파괴력이 크다.,-1.5,1.4375
수축감,근육 따위가 오그라드는 느낌.,-0.5,0.375
멋쟁이,멋있거나 멋을 잘 부리는 사람.,1.8125,1.125
몰입력,깊이 파고들거나 빠질 수 있는 힘.,1.75,0.875
입맞춤,성애의 표현으로 상대의 입에 자기 입을 맞춤.,1.9375,0.75
나누다,하나를 둘 이상으로 가르다.,0.8125,0.3125
암세포,암을 이루는 세포. 분열 능력이 크며 모양이나 크기가 정상 세포와 다르다.,-2.1875,1
초고령,늙은이로서 매우 많은 나이. 또는 그런 나이가 된 사람.,-0.4375,-0.9375
부적격,어떤 일에 자격이 알맞지 아니함.,-1.75,0.5625
응집력,어떤 단체나 조직에 속하는 구성원들을 통합하는 힘.,1,0.4375
범죄자,범죄를 저지른 사람.,-2.8125,1.0625
하수구,"빗물이나 집, 공장, 병원 따위에서 쓰고 버리는 더러운 물이 흘러내려 가도록 만든 도랑.",-1.75,0.3125
활약하다,기운차게 뛰어다니다.,2.375,2
인터넷,"전 세계의 컴퓨터가 서로 연결되어 정보를 교환할 수 있는, 하나의 거대한 컴퓨터 통신망.",0.8125,0.125
내재화,어떤 성질 따위가 사물이나 일정한 범위의 안에 들어 있게 됨. 또는 그렇게 되게 함.,1,-0.75
가속화,속도를 더하게 됨. 또는 그렇게 함.,0.5625,1.875
멋있다,보기에 썩 좋거나 훌륭하다.,2.375,0.4375
힘없이,기운이나 의욕 따위가 없이.,-1.625,-0.75
주도성,주도적 입장에 서는 성질이나 특성.,0.9375,1.25
상업성,상업으로 이윤을 얻는 것을 중요시하는 특성.,0.4375,0.25
사투리,"어느 한 지방에서만 쓰는, 표준어가 아닌 말.",0.875,0.3125
행복감,생활에서 충분한 만족과 기쁨을 느끼는 마음. 또는 그런 느낌.,2.5,-0.875
성추행,일방적인 성적 만족을 얻기 위하여 물리적으로 신체 접촉을 가함으로써 상대방에게 성적 수치심을 불러일으키는 행위.,-2.875,1.9375
주춧돌,기둥 밑에 기초로 받쳐 놓은 돌.,1.0625,-1.625
막연히,갈피를 잡을 수 없을 정도로 아득하게.,-1.5625,0.5625
코미디,재미있고 웃기는 내용의 연극이나 드라마.,2.0625,1.3125
사용료,사용한 값으로 내는 요금.,0.0625,0
신기록,기존의 기록보다 뛰어난 새로운 기록.,2.25,1.8125
바꾸다,원래 있던 것을 없애고 다른 것으로 채워 넣거나 대신하게 하다.,0.4375,0.9375
단기전,짧은 기간 동안의 싸움이나 경기.,-0.1875,2
감가상각,토지를 제외한 고정 자산에 생기는 가치의 소모를 셈하는 회계상의 절차. 고정 자산 가치의 소모를 각 회계 연도에 할당하여 그 자산의 가격을 줄여 간다.,-0.375,0.125
황무지,손을 대어 거두지 않고 내버려 두어 거친 땅.,-1.1875,-0.1875
오로지,오직 한 방향으로. 또는 다른 것이 없이 오직.,0.6875,-0.6875
구직난,일정한 직업을 찾기 어려움. 또는 그런 상태.,-2.3125,1.625
기념사진,어떤 일에 대하여 오래도록 잊지 아니하고 간직하기 위하여 찍는 사진.,2.1875,-0.25
낭떠러지,깎아지른 듯한 언덕.,-1.1875,1.8125
정사각형,변의 길이와 내각의 크기가 모두 같은 사각형.,0.8125,-0.375
무의미,아무 값어치나 의의가 없음.,-0.75,-0.5625
스프레이,머리를 원하는 모양으로 고정하는 데 쓰는 미용 재료.,0.3125,0
유용성,소용에 닿고 이용할 만한 특성.,1.375,-0.5
게으름,행동이 느리고 움직이거나 일하기를 싫어하는 태도나 버릇.,-1.3125,-0.4375
깔끔이,모양새나 솜씨가 깨끗하고 매끈한 사람을 이르는 말.,1.6875,-0.75
견인차,고장이 났거나 불법으로 정차하고 있는 자동차를 달아 올려서 수리 공장이나 적법한 장소로 옮기는 차. 보통 기중기를 차 뒤쪽에 장치하고 있다.,-0.25,0
실험군,실험의 대상이 되는 무리.,-0.3125,0.3125
상해죄,폭행 또는 그 밖의 행위로 일부러 남의 몸에 상처를 입힘으로써 성립하는 범죄.,-2.625,1.4375
생중계,현장에서 일어나는 일을 따로 녹화나 편집을 하지 않고 생생하게 그대로 방송함.,0.75,1.6875
미착용,마땅히 착용하여야 할 것을 착용하지 아니함.,-1.5625,0.6875
아스팔트,원유에서 석유를 빼내고 남은 물질로 자갈을 섞어 길에 깐 것.,0.0625,-0.625
앙코르,출연자의 훌륭한 솜씨를 찬양하여 박수 따위로 재연을 청하는 일.,1.875,1.75
와글와글,사람이나 벌레 따위가 한곳에 많이 모여 잇따라 떠들거나 움직이는 소리. 또는 그 모양.,-1,1.6875
진료비,진찰받는 환자가 의사나 병원에 치르는 요금.,-0.5,-0.0625
완두콩,완두의 열매. 초여름에 열리며 식용한다.,0.875,-0.4375
몰래카메라,촬영을 당하는 사람이 촬영을 당한다는 사실을 모르는 상태로 촬영하는 카메라. 또는 그런 방식.,-2.5,1.5
확진자,질환의 종류나 상태를 확실하게 진단받은 사람.,-1.375,0.875
이기주의,"자기 자신의 이익만을 꾀하고, 사회 일반의 이익은 염두에 두지 않으려는 태도.",-2.375,0.5
위기론,어떤 위기가 닥쳤거나 곧 올 것이라는 주장이나 이론.,-1.875,1.5625
빈곤율,가난하여 살기가 어려운 가구나 사람의 비율.,-1.9375,0.5
개척자,거친 땅을 일구어 쓸모 있는 땅으로 만드는 사람.,1.8125,1.8125
중압감,강제되거나 강요된 것에 대한 부담감.,-2.1875,1.625
미혼자,아직 결혼하지 않은 사람.,0.3125,0.375
공격수,"단체 경기에서, 공격을 기본적인 임무로 하는 선수.",0.5,1.4375
표현력,생각이나 느낌 따위를 언어나 몸짓 따위의 형상으로 드러내어 나타내는 능력.,0.8125,0.625
숨김없이,감추거나 드러내지 않는 일이 없이.,1.125,-0.5625
협동심,서로 마음과 힘을 하나로 합하려는 마음.,2.125,0.75
반대론자,반대하는 논리를 주장하는 사람.,-1,1.25
고평가,사물의 가치나 수준 따위를 실제보다 높게 평가함. 또는 그런 평가.,0.1875,0.625
기부금,자선 사업이나 공공사업을 돕기 위하여 대가 없이 내놓은 돈.,1.75,-0.625
잔혹성,잔인하고 독한 성질.,-2.4375,1.75
좋아하다,어떤 일이나 사물 따위에 대하여 좋은 느낌을 가지다.,2.4375,0.375
비자금,"세금 추적을 할 수 없도록 특별히 관리하여 둔 돈을 통틀어 이르는 말. 무역과 계약 따위의 거래에서 관례적으로 생기는 리베이트와 커미션, 회계 처리의 조작으로 생긴 부정한 돈 따위가 이에 해당한다.",-1.375,0.8125
속도위반,교통 법규상 제한되어 있는 차량의 속도를 넘어 속력을 내는 일.,-1.9375,2.0625
박탈감,박탈당하였다고 여기는 느낌이나 기분.,-2.4375,0.8125
싱크로율,비교되는 대상들이 서로 어긋나지 아니하고 같거나 들어맞는 비율.,1.3125,-1.0625
장려금,어떤 특정한 일을 장려하는 뜻으로 보조하여 주는 돈.,1.5625,0.0625
모호하다,말이나 태도가 흐리터분하여 분명하지 않다.,-1.25,0.375
자본금,영리를 목적으로 사업에 투자한 돈.,0.875,0.25
판매상,상품 따위를 파는 장사. 또는 그런 장수.,0.125,0.8125
갑작스레,미처 생각할 겨를이 없이 급하게.,-1.3125,2
세기말,"사회의 몰락으로 사상이나 도덕, 질서 따위가 혼란에 빠지고 퇴폐적, 향락적인 분위기로 되는 시기.",-1.6875,1
효율화,들인 노력에 비하여 얻는 결과가 크게 됨. 또는 그렇게 만듦.,2.125,0.875
비흡연,담배를 피우지 아니함.,2,-1.25
완강기,고층 건물에서 불이 났을 때 몸에 밧줄을 매고 높은 층에서 땅으로 천천히 내려올 수 있게 만든 비상용 기구.,0.5,0.375
정확성,바르고 확실한 성질. 또는 그런 정도.,1.5,-0.4375
로맨스,남녀 사이의 사랑 이야기. 또는 연애 사건.,1.9375,1
극대화,아주 커짐. 또는 아주 크게 함.,0.4375,1.625
참신성,새롭고 산뜻한 특성.,2.25,1.5625
대행인,남을 대신하여 행하는 사람.,-0.0625,0.3125
보고서,보고하는 글이나 문서.,0,-0.375
피로감,정신이나 몸이 지쳐 힘든 느낌.,-2.125,-0.6875
불완전,완전하지 않거나 완전하지 못함.,-1.5625,0.625
멜로디,음의 높낮이의 변화가 리듬과 연결되어 하나의 음악적 통합으로 형성되는 음의 흐름. 또는 음향의 형태.,1.8125,-0.125
떼죽음,한꺼번에 모조리 죽음.,-2.5625,1.6875
스피드,물체가 움직이거나 어떤 일이 진행되는 빠르기.,0.8125,1.75
휴관일,"도서관, 미술관, 영화관 따위가 일반에 대한 공개 업무를 쉬는 날.",-0.125,-0.75
대견하다,흐뭇하고 자랑스럽다.,1.9375,-0.5
다양화,"모양, 빛깔, 형태, 양식 따위가 여러 가지로 많아짐. 또는 그렇게 만듦.",1.375,1.0625
포장지,물건을 싸거나 꾸리는 데 쓰는 종이.,1.0625,-0.25
대만족,마음에 매우 흡족함.,2.6875,0.0625
미실현,"꿈, 기대 따위를 실제로 이루지 아니함.",-0.875,0
쿠데타,군사적 힘을 동원하여 정권을 빼앗으려고 갑자기 벌이는 행동.,-2.375,2.0625
교통사고,운행 중이던 자동차나 기차 따위가 사람을 치거나 다른 교통 기관과 충돌하는 따위 교통상의 사고.,-2.5625,2.125
황금기,절정에 올라 가장 좋은 시기.,2.5625,0.875
은퇴자,직위에서 물러나거나 사회 활동에서 손을 떼고 한가히 지내는 사람.,0.3125,-1.125
두개골,"척추동물의 머리를 이루는 뼈를 통틀어 이르는 말. 사람의 경우 뇌를 싸는 마루뼈, 이마뼈, 벌집뼈, 나비뼈, 뒤통수뼈, 관자뼈와 얼굴을 이루는 코뼈, 눈물뼈, 광대뼈, 위턱뼈, 아래턱뼈, 입천장뼈, 보습뼈, 코선반뼈 등이 있다.",-0.125,-0.4375
약하다,각오나 의지 따위가 굳지 못하고 여리다.,-1.3125,-0.125
보랏빛,파랑과 빨강의 중간 빛.,0.625,-0.5625
법정주의,법률로 규정하는 제도.,0.4375,-0.6875
포용력,남을 너그럽게 감싸 주거나 받아들이는 힘.,2.25,-1.375
관계없다,서로 아무런 관련이 없다.,0.125,-0.5
라이벌,같은 목적을 가졌거나 같은 분야에서 일하면서 이기거나 앞서려고 서로 겨루는 맞수.,-0.125,1.625
클라우드,"인터넷상에 마련한 개인용 서버에 각종 문서, 사진, 음악 따위의 파일 및 정보를 저장하여 두는 시스템.",1.0625,-0.75
경고장,경고하는 내용을 적은 서류장.,-1.9375,1.1875
엑스포,"세계 여러 나라가 참가하여 각국의 생산품을 합동으로 전시하는 국제 박람회. 1851년에 런던에서 최초로 개최한 것이 그 기원으로, 1928년에 파리에서 체결한 국제 박람회 조약에 따라 가맹국의 주최하에 4년마다 열리며, 주로 공업 제품ㆍ미술 공예품 따위를 출품한다.",0.875,0.625
공놀이,공을 가지고 노는 놀이.,1.3125,1.4375
무관세,화물이 국경을 통과할 때 부과하는 세금이 없음.,0.375,-0.0625
내리막,높은 곳에서 낮은 곳으로 이어지는 비탈진 곳.,-0.75,1
배당률,불입한 금액에 대한 배당금의 비율.,0.5625,-0.1875
기술력,인간에게 유용한 것을 개발하거나 처리하고 문제를 해결하는 능력.,1.6875,0.25
직사광선,정면으로 곧게 비치는 빛살.,0.4375,0.0625
피투성이,피가 온 군데에 낭자하게 묻은 모양.,-2.5,1.875
자신감,자신이 있다는 느낌.,2,1.5625
저염식,소금을 적게 넣어 만든 음식.,0.5,-1.25
언어유희,"말이나 글자를 소재로 하는 놀이. 말 잇기 놀이, 어려운 말 외우기, 새말 만들기 따위가 있다.",1,0.6875
무관하다,관계나 상관이 없다.,-0.1875,-0.1875
딜레마,"선택해야 할 길은 두 가지 중 하나로 정해져 있는데, 그 어느 쪽을 선택해도 바람직하지 못한 결과가 나오게 되는 곤란한 상황.",-2.1875,1.0625
공저자,한 책을 공동으로 지은 사람.,0,-0.125
미술학과,미술과 관련된 학문을 배우고 연구하는 학과.,1,0
미포함,아직 포함하지 아니함.,-0.375,0.125
대형화,사물의 형체나 규모가 커짐. 또는 그렇게 함.,0.75,0.75
점안액,눈에 떨어뜨려 넣는 안약. 또는 그런 액체.,0.5625,-0.0625
최우수,여럿 가운데 가장 뛰어남.,2.3125,0.5
채권자,특정인에게 일정한 빚을 받아 낼 권리를 가진 사람.,-0.5,0.6875
뇌물죄,뇌물을 주고받거나 알선하고 전달함으로써 성립하는 범죄.,-2.3125,0.875
차단제,액체나 기체 따위의 흐름 또는 통로를 막거나 끊어서 통하지 못하게 하는 약제.,-0.5,-0.5
올빼미,"올빼밋과의 새. 등과 배는 누런빛을 띤 갈색이고 세로무늬가 있다. 눈가의 털은 방사상으로 나고 얼굴은 둥근데 귀깃이 없다. 야행성으로 한국, 일본, 아시아 동북부, 유럽 등지에 분포한다. 천연기념물 제324-1호.",0.1875,0.3125
자존감,스스로 자기를 소중히 대하며 품위를 지키려는 감정.,1.6875,-0.4375
